"","Carat","Colour","Clarity","Cut","Certification","Polish","Symmetry","Price","Wholesaler"
"114",1.04,"3-H","3-I1","6-I","EGL","4-V","5-X",2390,2
"115",1.25,"2-J","2-I2","2-F","GIA","3-G","3-G",2397,2
"116",1.05,"3-I","3-I1","2-F","GIA","3-G","3-G",2413,2
"117",1.09,"2-K","3-I1","5-X","GIA","3-G","3-G",2427,2
"118",1.14,"1-L","2-I2","5-X","GIA","4-V","4-V",2437,2
"119",1.11,"3-G","2-I2","5-X","GIA","3-G","3-G",2438,2
"120",1.21,"2-K","4-SI3","2-F","EGL","3-G","3-G",2446,2
"121",1,"4-E","4-SI3","2-F","EGL","3-G","3-G",3080,2
"122",1.03,"3-G","3-I1","5-X","GIA","4-V","3-G",3082,2
"123",1.03,"3-G","3-I1","2-F","GIA","3-G","4-V",3082,2
"124",1.21,"2-J","3-I1","5-X","GIA","3-G","3-G",3083,2
"125",1.04,"3-G","3-I1","6-I","GIA","4-V","3-G",3084,2
"126",1.19,"3-H","3-I1","2-F","EGL","4-V","3-G",3085,2
"127",1.01,"3-H","5-SI2","3-G","EGL","4-V","4-V",3086,2
"128",1.04,"2-J","6-SI1","5-X","EGL","4-V","5-X",3089,2
"129",1.02,"3-H","3-I1","5-X","GIA","3-G","2-F",3089,2
"130",1.2,"3-I","3-I1","2-F","EGL","4-V","3-G",3093,2
"131",1.2,"3-I","3-I1","2-F","EGL","3-G","3-G",3093,2
"132",1.02,"2-K","7-VS2","6-I","EGL","5-X","5-X",3093,2
"133",1.04,"4-F","4-SI3","6-I","EGL","4-V","5-X",3093,2
"134",1.01,"4-E","3-I1","3-G","GIA","5-X","4-V",3098,2
"135",1,"3-G","3-I1","5-X","GIA","5-X","4-V",3101,2
"136",1.01,"3-I","5-SI2","3-G","EGL","4-V","3-G",3102,2
"137",1,"4-E","4-SI3","5-X","EGL","3-G","3-G",3105,2
"138",1.01,"4-D","3-I1","2-F","GIA","4-V","3-G",3107,2
"139",1.43,"3-I","2-I2","5-X","GIA","3-G","3-G",3108,2
"140",1,"2-J","5-SI2","5-X","EGL","3-G","3-G",3108,2
"141",1,"2-J","5-SI2","6-I","EGL","4-V","5-X",3108,2
"142",1,"2-J","5-SI2","5-X","EGL","4-V","3-G",3108,2
"143",1.11,"2-K","5-SI2","5-X","GIA","4-V","4-V",3108,2
"144",1.01,"3-G","3-I1","5-X","GIA","3-G","3-G",3108,2
"145",1.01,"4-F","4-SI3","6-I","EGL","4-V","3-G",3111,2
"146",1.01,"2-J","6-SI1","5-X","EGL","4-V","5-X",3111,2
"147",1.14,"4-E","3-I1","3-G","EGL","3-G","3-G",3112,2
"148",1.12,"3-G","3-I1","5-X","GIA","4-V","4-V",3112,2
"149",1,"2-J","6-SI1","5-X","EGL","4-V","3-G",3114,2
"150",1.01,"3-G","4-SI3","5-X","EGL","3-G","3-G",3118,2
"151",1.02,"4-D","4-SI3","6-I","EGL","5-X","5-X",3119,2
"152",1.11,"3-I","5-SI2","5-X","EGL","4-V","3-G",3122,2
"153",1.1,"3-H","3-I1","5-X","GIA","4-V","4-V",3124,2
"154",1.13,"2-K","8-VS1","5-X","EGL","3-G","4-V",3124,2
"155",1,"2-J","5-SI2","2-F","GIA","3-G","2-F",3125,2
"156",1.26,"2-K","3-I1","5-X","GIA","4-V","3-G",3125,2
"157",1,"4-D","3-I1","3-G","EGL","3-G","3-G",3126,2
"158",1,"4-D","3-I1","5-X","EGL","3-G","4-V",3126,2
"159",1,"3-I","5-SI2","3-G","EGL","4-V","3-G",3127,2
"160",1,"3-I","5-SI2","3-G","EGL","4-V","4-V",3127,2
"161",1.02,"3-I","4-SI3","5-X","EGL","3-G","3-G",3130,2
"162",1.01,"2-K","5-SI2","5-X","GIA","5-X","4-V",3135,2
"163",1,"3-H","5-SI2","6-I","EGL","3-G","4-V",3135,2
"164",1,"3-H","5-SI2","3-G","EGL","3-G","3-G",3135,2
"165",1,"3-G","3-I1","6-I","GIA","3-G","3-G",3136,2
"166",1.02,"4-D","3-I1","2-F","EGL","3-G","4-V",3137,2
"167",1.23,"2-K","5-SI2","5-X","GIA","5-X","3-G",3137,2
"168",1.01,"3-G","5-SI2","2-F","EGL","3-G","4-V",3138,2
"169",1.07,"4-E","4-SI3","5-X","EGL","3-G","4-V",3138,2
"170",1.01,"2-J","5-SI2","5-X","EGL","4-V","4-V",3139,2
"171",1.01,"2-J","5-SI2","6-I","EGL","4-V","5-X",3139,2
"172",1.01,"2-J","5-SI2","5-X","EGL","4-V","4-V",3139,2
"173",1.01,"2-J","5-SI2","5-X","EGL","4-V","4-V",3139,2
"174",1.01,"2-J","5-SI2","6-I","EGL","4-V","5-X",3139,2
"175",1.01,"2-J","5-SI2","6-I","EGL","4-V","4-V",3139,2
"176",1.01,"2-J","5-SI2","5-X","EGL","3-G","4-V",3139,2
"177",1.15,"4-E","3-I1","5-X","EGL","4-V","4-V",3140,2
"178",1.03,"3-G","3-I1","5-X","GIA","3-G","3-G",3141,2
"179",1.04,"2-J","6-SI1","5-X","EGL","4-V","4-V",3142,2
"180",1.01,"2-J","6-SI1","3-G","EGL","3-G","4-V",3145,2
"181",1.03,"3-H","3-I1","5-X","EGL","3-G","3-G",2451,2
"182",1,"2-J","5-SI2","3-G","EGL","3-G","4-V",2452,2
"183",1.15,"2-J","4-SI3","3-G","EGL","3-G","3-G",2467,2
"184",1.01,"2-J","5-SI2","6-I","EGL","4-V","5-X",2476,2
"185",1,"4-E","3-I1","2-F","EGL","4-V","3-G",2486,2
"186",1.12,"2-K","3-I1","2-F","GIA","3-G","2-F",2493,2
"187",1.01,"4-E","2-I2","5-X","GIA","3-G","3-G",2495,2
"188",1.03,"2-K","4-SI3","6-I","EGL","3-G","3-G",2511,2
"189",1.01,"4-E","3-I1","5-X","EGL","3-G","4-V",2511,2
"190",1.01,"4-E","3-I1","3-G","EGL","3-G","3-G",2511,2
"191",1.01,"4-E","3-I1","5-X","EGL","3-G","3-G",2511,2
"192",1.22,"2-K","3-I1","2-F","EGL","4-V","3-G",2516,2
"193",1.2,"3-G","2-I2","5-X","GIA","3-G","3-G",2565,2
"194",1.1,"3-G","3-I1","5-X","EGL","4-V","4-V",2574,2
"195",1.16,"2-J","3-I1","4-V","EGL","3-G","3-G",2584,2
"196",1.02,"4-E","3-I1","5-X","EGL","4-V","4-V",2586,2
"197",1.23,"1-L","3-I1","5-X","GIA","3-G","3-G",2586,2
"198",1,"2-J","5-SI2","2-F","EGL","4-V","3-G",2591,2
"199",1.01,"4-F","4-SI3","5-X","EGL","4-V","4-V",2600,2
"200",1.19,"3-H","2-I2","5-X","GIA","3-G","3-G",2600,2
"201",1.02,"3-H","3-I1","2-F","EGL","3-G","2-F",2601,2
"202",1.33,"1-L","4-SI3","5-X","EGL","3-G","4-V",2607,2
"203",1.1,"4-F","2-I2","5-X","GIA","4-V","4-V",2617,2
"204",1.58,"2-K","2-I2","2-F","GIA","2-F","2-F",2620,2
"205",1.04,"2-K","3-I1","5-X","GIA","3-G","3-G",2625,2
"206",1.01,"2-J","4-SI3","5-X","EGL","4-V","4-V",2625,2
"207",1,"3-H","3-I1","3-G","GIA","3-G","3-G",2625,2
"208",1.02,"3-G","3-I1","6-I","EGL","4-V","5-X",2625,2
"209",1.02,"2-K","5-SI2","5-X","EGL","4-V","4-V",2629,2
"210",1.01,"3-H","4-SI3","2-F","EGL","3-G","2-F",2640,2
"211",1.01,"3-I","3-I1","5-X","GIA","4-V","3-G",2651,2
"212",1.01,"2-J","4-SI3","2-F","EGL","3-G","3-G",2654,2
"213",1,"1-L","7-VS2","2-F","GIA","3-G","3-G",2655,2
"214",1,"3-I","4-SI3","2-F","EGL","3-G","3-G",2660,2
"215",1.01,"2-K","6-SI1","2-F","EGL","4-V","3-G",2668,2
"216",1,"3-G","4-SI3","2-F","EGL","2-F","2-F",2678,2
"217",1,"2-K","5-SI2","6-I","GIA","4-V","4-V",2682,2
"218",1.14,"4-F","3-I1","6-I","EGL","4-V","4-V",2689,2
"219",1,"2-K","6-SI1","3-G","EGL","3-G","4-V",2689,2
"220",1.01,"4-D","3-I1","5-X","EGL","4-V","5-X",2692,2
"221",1.03,"4-D","3-I1","5-X","EGL","3-G","4-V",2692,2
"222",1.03,"4-D","3-I1","2-F","EGL","3-G","3-G",2692,2
"223",1.05,"2-J","3-I1","5-X","GIA","4-V","3-G",2693,2
"224",1.41,"2-K","2-I2","5-X","GIA","3-G","3-G",2704,2
"225",1.16,"4-D","2-I2","2-F","GIA","3-G","3-G",2714,2
"226",1.01,"2-K","6-SI1","6-I","EGL","4-V","5-X",2716,2
"227",1,"4-E","3-I1","3-G","EGL","3-G","3-G",2730,2
"228",1,"2-K","5-SI2","5-X","GIA","4-V","4-V",2745,2
"229",1,"2-J","5-SI2","2-F","EGL","3-G","2-F",2745,2
"230",1.06,"4-F","3-I1","2-F","EGL","3-G","3-G",2745,2
"231",1.01,"4-E","3-I1","5-X","EGL","3-G","4-V",2757,2
"232",1.12,"1-L","5-SI2","3-G","EGL","3-G","3-G",2765,2
"233",1.07,"1-L","5-SI2","5-X","GIA","4-V","4-V",2770,2
"234",1.04,"4-D","3-I1","6-I","EGL","5-X","5-X",2772,2
"235",1,"2-J","5-SI2","5-X","EGL","4-V","4-V",2772,2
"236",1.1,"3-G","3-I1","5-X","EGL","3-G","4-V",2772,2
"237",1.16,"4-F","3-I1","5-X","GIA","3-G","2-F",2775,2
"238",1,"3-G","3-I1","5-X","GIA","4-V","4-V",2779,2
"239",1,"2-J","6-SI1","2-F","EGL","4-V","3-G",2780,2
"240",1,"2-J","6-SI1","2-F","EGL","3-G","2-F",2780,2
"241",0.09,"4-D","6-SI1","5-X","IGI","3-G","3-G",190,3
"242",0.09,"4-E","6-SI1","6-I","IGI","3-G","3-G",160,3
"243",0.09,"4-F","6-SI1","6-I","IGI","4-V","3-G",160,3
"244",0.09,"4-E","6-SI1","6-I","IGI","3-G","3-G",180,3
"245",0.09,"4-E","8-VS1","6-I","IGI","4-V","3-G",190,3
"246",0.1,"4-E","7-VS2","4-V","IGI","4-V","3-G",330,3
"247",0.1,"4-F","8-VS1","4-V","IGI","3-G","3-G",180,3
"248",0.1,"4-E","7-VS2","5-X","IGI","3-G","3-G",180,3
"249",0.1,"4-F","7-VS2","5-X","IGI","4-V","3-G",180,3
"250",0.1,"4-F","6-SI1","5-X","IGI","3-G","3-G",190,3
"251",0.1,"4-F","6-SI1","5-X","IGI","3-G","3-G",160,3
"252",0.1,"4-E","6-SI1","4-V","IGI","3-G","3-G",160,3
"253",0.1,"4-E","5-SI2","3-G","IGI","4-V","3-G",190,3
"254",0.1,"4-E","8-VS1","4-V","IGI","3-G","3-G",180,3
"255",0.1,"4-E","8-VS1","5-X","IGI","3-G","3-G",180,3
"256",0.1,"4-F","6-SI1","4-V","IGI","3-G","3-G",180,3
"257",0.1,"4-F","8-VS1","5-X","IGI","3-G","3-G",180,3
"258",0.1,"4-E","7-VS2","4-V","IGI","3-G","3-G",180,3
"259",0.11,"4-F","6-SI1","3-G","IGI","3-G","3-G",160,3
"260",0.11,"4-F","7-VS2","3-G","IGI","3-G","3-G",190,3
"261",0.11,"4-E","6-SI1","5-X","IGI","3-G","3-G",160,3
"262",0.11,"4-F","7-VS2","4-V","IGI","4-V","4-V",180,3
"263",0.11,"4-F","6-SI1","6-I","IGI","4-V","3-G",180,3
"264",0.2,"4-F","6-SI1","5-X","IGI","3-G","3-G",320,3
"265",0.21,"3-G","6-SI1","4-V","IGI","3-G","3-G",330,3
"266",0.21,"4-F","6-SI1","6-I","IGI","3-G","3-G",330,3
"267",0.21,"4-E","7-VS2","4-V","IGI","4-V","3-G",340,3
"268",0.21,"4-E","9-VVS2","5-X","IGI","4-V","3-G",320,3
"269",0.21,"4-F","6-SI1","5-X","IGI","4-V","4-V",330,3
"270",0.21,"4-F","7-VS2","5-X","IGI","3-G","3-G",340,3
"271",0.21,"4-E","7-VS2","6-I","IGI","4-V","3-G",340,3
"272",0.22,"4-E","6-SI1","6-I","IGI","3-G","3-G",360,3
"273",0.22,"4-F","6-SI1","4-V","IGI","3-G","3-G",330,3
"274",0.22,"4-D","6-SI1","5-X","IGI","3-G","3-G",340,3
"275",0.22,"4-F","6-SI1","4-V","IGI","3-G","3-G",330,3
"276",0.22,"4-E","6-SI1","6-I","IGI","4-V","4-V",340,3
"277",0.23,"4-E","6-SI1","4-V","IGI","4-V","4-V",404,3
"278",0.23,"4-F","9-VVS2","5-X","IGI","4-V","4-V",665,3
"279",0.23,"4-F","6-SI1","5-X","IGI","3-G","3-G",360,3
"280",0.23,"4-E","6-SI1","6-I","IGI","3-G","3-G",360,3
"281",0.23,"4-F","7-VS2","5-X","IGI","4-V","3-G",360,3
"282",0.23,"4-F","6-SI1","4-V","IGI","3-G","3-G",340,3
"283",0.23,"4-F","6-SI1","5-X","IGI","3-G","3-G",360,3
"284",0.27,"4-E","7-VS2","6-I","GIA","4-V","4-V",594,3
"285",0.28,"4-E","9-VVS2","5-X","GIA","4-V","5-X",658,3
"286",0.28,"4-E","9-VVS2","5-X","GIA","4-V","5-X",658,3
"287",0.3,"3-I","3-I1","6-I","GIA","3-G","4-V",372,3
"288",0.3,"2-J","5-SI2","4-V","GIA","4-V","4-V",439,3
"289",0.3,"3-I","5-SI2","5-X","GIA","4-V","4-V",466,3
"290",0.3,"3-I","5-SI2","4-V","GIA","3-G","4-V",466,3
"291",0.3,"4-D","3-I1","5-X","GIA","4-V","4-V",466,3
"292",0.3,"2-J","6-SI1","4-V","GIA","3-G","5-X",466,3
"293",0.3,"2-J","6-SI1","3-G","GIA","5-X","5-X",466,3
"294",0.3,"2-J","6-SI1","4-V","GIA","5-X","4-V",466,3
"295",0.3,"2-K","8-VS1","4-V","GIA","5-X","4-V",466,3
"296",0.3,"2-J","7-VS2","2-F","GIA","4-V","4-V",468,3
"297",0.3,"3-I","5-SI2","4-V","GIA","3-G","4-V",476,3
"298",0.3,"3-I","5-SI2","6-I","GIA","5-X","5-X",476,3
"299",0.3,"2-J","6-SI1","5-X","GIA","4-V","3-G",476,3
"300",0.3,"2-J","6-SI1","4-V","GIA","5-X","4-V",476,3
"301",0.3,"2-J","6-SI1","5-X","GIA","5-X","3-G",476,3
"302",0.3,"2-J","6-SI1","5-X","GIA","4-V","4-V",476,3
"303",0.3,"2-J","6-SI1","3-G","GIA","4-V","4-V",476,3
"304",0.3,"4-D","3-I1","5-X","GIA","4-V","4-V",490,3
"305",0.3,"3-H","5-SI2","3-G","GIA","4-V","4-V",493,3
"306",0.3,"3-H","5-SI2","5-X","GIA","4-V","4-V",493,3
"307",0.3,"3-H","5-SI2","5-X","GIA","4-V","4-V",493,3
"308",0.3,"3-H","5-SI2","6-I","GIA","4-V","4-V",493,3
"309",0.3,"3-H","5-SI2","5-X","GIA","4-V","4-V",493,3
"310",0.3,"3-H","5-SI2","5-X","GIA","4-V","4-V",493,3
"311",0.3,"3-I","6-SI1","6-I","GIA","4-V","4-V",493,3
"312",0.3,"3-G","5-SI2","3-G","GIA","3-G","3-G",493,3
"313",0.3,"2-J","7-VS2","5-X","GIA","4-V","4-V",493,3
"314",0.3,"2-J","7-VS2","4-V","GIA","4-V","4-V",493,3
"315",0.3,"2-J","7-VS2","4-V","GIA","3-G","4-V",493,3
"316",0.3,"2-J","7-VS2","6-I","GIA","4-V","4-V",493,3
"317",0.3,"2-J","7-VS2","4-V","GIA","4-V","4-V",493,3
"318",0.3,"2-J","7-VS2","5-X","GIA","4-V","4-V",493,3
"319",0.3,"3-H","5-SI2","3-G","GIA","5-X","5-X",504,3
"320",0.3,"3-H","5-SI2","4-V","GIA","5-X","4-V",504,3
"321",0.3,"3-H","5-SI2","5-X","GIA","5-X","5-X",504,3
"322",0.3,"3-H","6-SI1","2-F","GIA","4-V","5-X",519,3
"323",0.3,"3-H","6-SI1","4-V","GIA","4-V","4-V",519,3
"324",0.3,"4-E","5-SI2","5-X","GIA","3-G","3-G",519,3
"325",0.3,"4-F","5-SI2","4-V","GIA","4-V","4-V",520,3
"326",0.3,"4-F","5-SI2","4-V","GIA","4-V","4-V",520,3
"327",0.3,"4-F","5-SI2","4-V","GIA","3-G","4-V",520,3
"328",0.3,"4-F","5-SI2","5-X","GIA","4-V","3-G",520,3
"329",0.3,"4-F","5-SI2","6-I","GIA","4-V","4-V",520,3
"330",0.3,"4-F","5-SI2","6-I","GIA","4-V","4-V",520,3
"331",0.3,"4-F","5-SI2","6-I","GIA","3-G","4-V",520,3
"332",0.3,"4-F","5-SI2","6-I","GIA","4-V","4-V",520,3
"333",0.3,"4-F","5-SI2","4-V","GIA","4-V","4-V",520,3
"334",0.3,"4-F","5-SI2","4-V","GIA","4-V","4-V",520,3
"335",0.3,"3-G","5-SI2","5-X","GIA","5-X","4-V",520,3
"336",0.3,"3-G","5-SI2","6-I","GIA","4-V","4-V",520,3
"337",0.3,"3-G","5-SI2","6-I","GIA","4-V","4-V",520,3
"338",0.3,"3-I","6-SI1","4-V","GIA","5-X","4-V",520,3
"339",0.3,"3-I","6-SI1","4-V","GIA","4-V","4-V",520,3
"340",0.3,"3-I","6-SI1","4-V","GIA","4-V","5-X",520,3
"341",0.3,"3-I","6-SI1","4-V","GIA","5-X","5-X",520,3
"342",0.3,"4-F","5-SI2","6-I","GIA","3-G","3-G",520,3
"343",0.3,"4-F","5-SI2","4-V","GIA","4-V","5-X",520,3
"344",0.3,"3-G","5-SI2","3-G","GIA","4-V","4-V",520,3
"345",0.3,"3-G","5-SI2","4-V","GIA","5-X","4-V",520,3
"346",0.3,"3-G","5-SI2","5-X","GIA","4-V","4-V",520,3
"347",0.3,"3-G","5-SI2","5-X","GIA","4-V","4-V",520,3
"348",0.3,"3-G","5-SI2","4-V","GIA","3-G","4-V",520,3
"349",0.3,"3-I","6-SI1","3-G","GIA","4-V","4-V",520,3
"350",0.3,"3-I","6-SI1","4-V","GIA","4-V","4-V",520,3
"351",0.3,"3-I","6-SI1","4-V","GIA","3-G","4-V",520,3
"352",0.3,"3-I","6-SI1","4-V","GIA","4-V","4-V",520,3
"353",0.3,"3-I","6-SI1","4-V","GIA","4-V","4-V",520,3
"354",0.3,"3-I","6-SI1","6-I","GIA","4-V","4-V",520,3
"355",0.3,"3-I","6-SI1","2-F","GIA","3-G","4-V",520,3
"356",0.3,"3-I","6-SI1","5-X","GIA","4-V","3-G",520,3
"357",0.3,"3-I","6-SI1","6-I","GIA","3-G","3-G",520,3
"358",0.3,"3-I","6-SI1","6-I","GIA","4-V","4-V",520,3
"359",0.3,"3-I","6-SI1","6-I","GIA","4-V","4-V",520,3
"360",0.3,"3-I","6-SI1","4-V","GIA","4-V","4-V",520,3
"361",0.3,"3-I","6-SI1","5-X","GIA","5-X","4-V",520,3
"362",0.3,"2-J","8-VS1","4-V","GIA","5-X","4-V",520,3
"363",0.3,"2-J","8-VS1","5-X","GIA","4-V","4-V",520,3
"364",0.3,"2-J","8-VS1","4-V","GIA","4-V","4-V",520,3
"365",0.3,"2-J","8-VS1","4-V","GIA","4-V","5-X",520,3
